Fabric Code,Brand,Type,Color,File
505232,1,shirt,Claret red And Maroon Check,505232.jpg
505233,1,shirt,Dark Green And Olive Check,505233.jpg
505234,1,shirt,Lochinvar With Grey Check,505234.jpg
505235,1,shirt,"White, Purple And Yellow Check",505235.jpg
505236,1,shirt,"Yellow, White And Dark Blue Check",505236.jpg
505237,1,shirt,Dark Blue With Red And White Check,505237.jpg
505239,1,shirt,PaleGoldenrod Mini Herringbone,505239.jpg
505240,1,shirt,Pink Mini Herringbone,505240.jpg
505241,1,shirt,CornflowerBlue Mini Herringbone,505241.jpg
505242,1,shirt,Medium Blue Stripe,505242.jpg
505243,1,shirt,Dark Red Stripe,505243.jpg
505244,1,shirt,Pink Stripe,505244.jpg
505245,1,shirt,Slate Gray Stripe,505245.jpg
505246,1,shirt,Dark Blue Stripe,505246.jpg
505247,1,shirt,Black Stripe,505247.jpg
505248,1,shirt,Royal Blue Stripe,505248.jpg
505249,1,shirt,Moccasin Stripe,505249.jpg
505250,1,shirt,White Oxford,505250.jpg
505251,1,shirt,Medium Slate Blue Oxford,505251.jpg
505252,1,shirt,Misty Rose Oxford,505252.jpg
505253,1,shirt,Navajo White Oxford,505253.jpg
505254,1,shirt,PaleGoldenrod Oxford,505254.jpg
505255,1,shirt,Sky Blue Oxford,505255.jpg
505256,1,shirt,Silver Oxford,505256.jpg
505257,1,shirt,CornflowerBlue Oxford,505257.jpg
505258,1,shirt,Royal Blue Oxford,505258.jpg
505259,1,shirt,Black Oxford,505259.jpg
505260,1,shirt,Dark Purple Oxford,505260.jpg
505261,1,shirt,Brown Oxford,505261.jpg
505262,1,shirt,Navy Blue Oxford,505262.jpg
505263,1,shirt,Indigo Oxford,505263.jpg
505264,1,shirt,Charcoal Grey Oxford,505264.jpg
505265,1,shirt,Red Oxford,505265.jpg
505266,1,shirt,Orange Red Oxford,505266.jpg
505267,1,shirt,Gold Oxford,505267.jpg
505268,1,shirt,Red And Light Check,505268.jpg
505269,1,shirt,Grey Check,505269.jpg
505270,1,shirt,"White, Brown, Grey And Light Check",505270.jpg
505271,1,shirt,Black And Purple Check,505271.jpg
505272,1,shirt,Red Stripe,505272.jpg
505273,1,shirt,Pink Stripe,505273.jpg
505274,1,shirt,Goldenrod With Black Check,505274.jpg
505275,1,shirt,Purple Micro Grid,505275.jpg
505276,1,shirt,White With Indigo Check,505276.jpg
505277,1,shirt,Small Yellow Check,505277.jpg
505278,1,shirt,Dark Blue And Purple Check,505278.jpg
505279,1,shirt,Grey Check,505279.jpg
505280,1,shirt,Dark Blue Double Stripe,505280.jpg
505281,1,shirt,Sky Blue Check,505281.jpg
