brand,cc,model,ref_no,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2012,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2013,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,H-L,,,,,Y,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2013,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2013,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,H-L,,,,,Y,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2014,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2014,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,H-L,,,,,Y,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2015,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
AGILITY,,SAIETTA-R (ELECTRIC BIKE),,,2015,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,H-L,,,,,Y,,
APRILIA,125,AF1 125 Sint / Futura,GS,ABE,1993,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,AF1 125 R,GS,ABE,1997,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,125,AF1 125 R,GS,ABE,1998,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,125,AF1 125 R,GS,ABE,1999,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,125,AF1 125 R ,,ABE,2000,MS,MZ362-310TRL-15,ABE,310-320,10x22 H+20,10x19 ,46-60-90-145,36,12,T,Y,,Y,,Y,,,,
APRILIA,125,AF1 125 R ,,ABE,2000,MS,ME302-310T-15,ABE,310,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,250,AF1 250 R ,,ABE,1996,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
APRILIA,250,AF1 250 R ,,ABE,1997,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
APRILIA,1000,ETV 1000 Caponord,PS,ABE,2002,MS,MZ506-365TR-10,ABE,365,10x22,F.25x10,60-160-185,50,16,T,Y,,,,Y,,,,
APRILIA,650,Pegaso 650 ,ML/GA,ABE,1992,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 651,ML/GA,ABE,1993,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 652,ML/GA,ABE,1994,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 650 Strada,VD,ABE,2005,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 650 Strada,VD,ABE,2006,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 650 Strada,VD,ABE,2007,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,650,Pegaso 650 Strada,VD,ABE,2008,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
APRILIA,125,RS 125 Extrema / SP ,GS,ABE,1994,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
APRILIA,125,RS 125 Extrema / SP ,GS,ABE,1995,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
APRILIA,125,RS 125  ,MP,ABE,1996,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 126,MP,ABE,1997,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 127,MP,ABE,1998,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 128,MP,ABE,1999,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 129,MP,ABE,2000,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 130,MP,ABE,2001,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 131,MP,ABE,2002,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
APRILIA,125,RS 125  ,,ABE,2003,MS,ME302-310T-15,ABE,310,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,125,RS 126,,ABE,2004,MS,ME302-310T-15,ABE,310,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,125,RS 127,,ABE,2005,MS,ME302-310T-15,ABE,310,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
APRILIA,250,RS 250 Race Replica ,LD/LD01,ABE,1995,MS,MZ366-315TR-09,ABE,315,10x30,F.30x10,46-60-90-145,36,16,T,Y,,,,Y,,,,
APRILIA,250,RS 250  GP,,,1998,MS,MZ366-310TRL-03,-,310-320,10x30,F.26xM10,46-60-90-145,36,16,T,Y,,Y,,Y,,,,
