brand,cc,model,ref_no,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg,vehicle_type
59,,QUAD     (FRONT),,,2009,TS,FZ366-410TR-01,,410,10x20,10x20,46-25-45-280,36,16,T,Y,,,,Y,,,,,2
59,,QUAD     ,,,2009,TS,RZ366-390TR-07,,390,10x20,10x20,46-25-45-260,36,16,T,Y,,,,,,,,,2
60,,J-MAX,,,2014,TS,RZ362-390TR-12,,390,10X32 OFFSET,10X30 OFFSET,46-45-70-280,36,12,T,Y,,,,Y,,,,,2
60,,J-MAX,,,2015,TS,RZ362-390TR-12,,390,10X32 OFFSET,10X30 OFFSET,46-45-70-280,36,12,T,Y,,,,Y,,,,,2
60,,J-MAX (FRONT),,,2014,TS,FZ362-390TR-11,,390,10X32 OFFSET,10X30 OFFSET,46-25-45-280,36,12,T,Y,,,,Y,,,,,2
60,,J-MAX (FRONT),,,2015,TS,FZ362-390TR-11,,390,10X32 OFFSET,10X30 OFFSET,46-25-45-280,36,12,T,Y,,,,Y,,,,,2
61,250,SILVERHAWK 250     ( REAR ),ME302-365T-01,,2008,MS,ME302-365T-01,,365,14x40,12x47,46-80-220,30,12,T,,,,,Y,,,,,2
61,250,SILVERHAWK 250     (FRONT),FE302-340T-02,,2008,TS,FE302-340T-02,,340,10x32,10x32,10x32,30,12,T,,,,,Y,,,,,2
61,250,SILVERHAWK 250     (FRONT),FZ362-355TR-01,,2008,TS,FZ362-355TR-01,,355,10x32,10x32,10x32,36,12,T,Y,,,,Y,,,,,2
62,,QUAD ,,,2008,TS,RG366-470TRC-02AB,,470,10x24,10x24,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,RENEGATE     (FRONT),,,2008,TS,FG366-440TRC-01AB,,440,10x24,10x24,46-20-30-280,36,16,T,Y,C,,,,Y,,,,2
62,800,RENEGATE     (FRONT),,,,TS,FG362-440TRC-01AB,,440,10x24,10X24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2007,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2008,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2009,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2010,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2011,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2012,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2013,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2014,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ( REAR ),,,2015,TS,RG366-470TRC-01AB,,470,10x30,10x30,46-20-40-280,36,16,T,Y,C,,,,Y,,,,2
62,800,OUTLANDER 800   ,,,2007,TS,RZ366-470TR-01,,470,10x30,10x30,46-20-40-280,36,16,T,Y,,,,,,,,,2
62,800,OUTLANDER 800   ,,,2008,TS,RZ366-470TR-01,,470,10x30,10x30,46-20-40-280,36,16,T,Y,,,,,,,,,2
62,800,OUTLANDER 800   ,,,2009,TS,RZ366-470TR-01,,470,10x30,10x30,46-20-40-280,36,16,T,Y,,,,,,,,,2
62,800,OUTLANDER 800   ,,,2010,TS,RZ366-470TR-01,,470,10x30,10x30,46-20-40-280,36,16,T,Y,,,,,,,,,2
