brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
26,1400,GSX 1400,WVBN,1,ABE,2002,TS,RZ362-335TRL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400,WVBN,1,ABE,2002,TS,RG362-335TRCL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,C,Y,,,Y,,,
26,1400,GSX 1400,WVBN,1,ABE,2003,TS,RZ362-335TRL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400,WVBN,1,ABE,2003,TS,RG362-335TRCL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,C,Y,,,Y,,,
26,1400,GSX 1400,WVBN,1,ABE,2004,TS,RZ362-335TRL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400,WVBN,1,ABE,2004,TS,RG362-335TRCL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,C,Y,,,Y,,,
26,1400,GSX 1400,WVBN,1,ABE,2005,TS,RZ362-335TRL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400,WVBN,1,ABE,2005,TS,RG362-335TRCL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,C,Y,,,Y,,,
26,1400,GSX 1400,WVBN,1,ABE,2006,TS,RZ362-335TRL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400,WVBN,1,ABE,2006,TS,RG362-335TRCL-07,ABE,335-345,14x22 OFFSET,10x21 Offset,46-20-30-200,36,12,T,Y,C,Y,,,Y,,,
26,1400,GSX 1400   H.25,WVBN,1,ABE,2001,TS,RZ362-360TRL-29,ABE,360-370,14x22 OFFSET,10x21 Offset,46-20-30-220,36,12,T,Y,,Y,,Y,,,,
26,1400,GSX 1400   H.25,WVBN,1,ABE,2001,TS,RG366-360TRCL-29,ABE,360-370,14x22 Offset,10x21 Offset,46-20-30-220,36,16,T,Y,C,Y,,,Y,,,
