brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
1,,SAIETTA-R (ELECTRIC BIKE),,1,,2012,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,W,,,,,Y,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,2013,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,W,,,,,Y,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,2014,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,W,,,,,Y,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,2015,TS,RZ362-340TR-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,,,,Y,,,,
1,,SAIETTA-R (ELECTRIC BIKE),,1,,,TS,RX362-340TRW-28,-,340,10x20,10x20,46-30-50-220,36,12,T,Y,W,,,,,Y,,
2,125,AF1 125 Sint / Futura,GS,1,ABE,1993,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,AF1 125 R,GS,1,ABE,1997,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
2,125,AF1 125 R,GS,1,ABE,1998,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
2,125,AF1 125 R,GS,1,ABE,1999,MS,ME302-300T-08,ABE,300,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
2,125,AF1 125 R ,GS,1,ABE,2000,MS,MZ362-310TRL-15,ABE,310-320,10x22 H+20,10x19 ,46-60-90-145,36,12,T,Y,,Y,,Y,,,,
2,125,AF1 125 R ,GS,1,,,MS,ME302-310T-15,ABE,310,10x22 H+20,10x19 ,46-60-90-145,30,12,T,,,,,Y,,,,
2,250,AF1 250 R ,GS,1,ABE,1996,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
2,250,AF1 250 R ,,1,ABE,1997,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
2,1000,ETV 1000 Caponord,PS,1,ABE,2002,MS,MZ506-365TR-10,ABE,365,10x22,F.25x10,60-160-185,50,16,T,Y,,,,Y,,,,
2,650,Pegaso 650 ,ML/GA,1,ABE,1992,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 651,ML/GA,1,ABE,1993,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 652,ML/GA,1,ABE,1994,MS,MZ366-335TRL-02,ABE,335-345,10x35,F.26x10,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 650 Strada,VD,1,ABE,2005,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 650 Strada,VD,1,ABE,2006,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 650 Strada,VD,1,ABE,2007,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,650,Pegaso 650 Strada,VD,1,ABE,2008,MS,MZ366-310TRL-22,ABE,310-320,10x35,10x36 ,46-170-175,36,16,T,Y,,Y,,Y,,,,
2,125,RS 125 Extrema / SP ,GS,1,ABE,1994,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
2,125,RS 125 Extrema / SP ,GS,1,ABE,1995,MS,MZ366-330TRL-07,ABE,330-340,10x22,10x19 ,46-80-185,36,16,T,Y,,Y,,Y,,,,
2,125,RS 125  ,MP,1,ABE,1996,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,RS 125  ,MP,1,ABE,1997,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,RS 125  ,MP,1,ABE,1998,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,RS 125  ,MP,1,ABE,1999,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,RS 125  ,MP,1,ABE,2000,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
2,125,RS 125  ,MP,1,ABE,2001,MS,ME302-280T-06,ABE,280,10X35,F.26X8,46-130-110,30,12,T,,,,,Y,,,,
