brand,cc,model,ref_no,vehicle_type,abe1,year,type,product_code,abe_shock,length,top,bottom ,spring,piston,shaft,preload,rebound,compression,length_adjus,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1992,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,Y,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1993,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1994,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1995,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1996,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1997,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1998,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,1999,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,2000,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,2001,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",MK/HV/GC,3,ABE,2002,MS,OD220-270P-01,ABE,270,10x20,F.20x8,38/40-25-35-170,22,10,P,,,,,,,,,
2,50,"Amico 50, 50 GL, 50 Sport",,3,,,MS,OE302-270T-01AL,ABE,270,10x20,F.20x8,46-25-35-160,30,12,T,,,,,Y,,,,
