brand,cc,model,ref_no,abe1,year,type,product_code,abe_shock,length,top,bottom,spring,piston,shaft,preload,rebound,compression,length_adjust,hydraulic,emulsion,piggy_back,on_hose,free_piston,dtg,vehicle_type
84,,SIDE CAR     ( REAR ),,,2008,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2009,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2010,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2011,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2012,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2013,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2014,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ( REAR ),,,2015,MS,MX506-450TRC-01,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2008,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2009,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2010,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2011,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2012,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2013,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2014,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2015,MS,MX506-450TRC-01AB,,450,12x24,F.22x10,60-85-260,50,16,T,Y,C,,,,,Y,,,4
84,,SIDE CAR     ,,,2008,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2009,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2010,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2011,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2012,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2013,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2014,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR     ,,,2015,MS,MG366-395TRC-05AB,,395,10x24,10x24,46-25-45-240,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2008,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2009,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2010,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2011,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2012,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2013,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2014,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2015,TS,FG366-395TRC-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2008,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2009,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2010,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2011,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2012,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2013,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2014,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2015,TS,FG366-395TRW-04,,395,10x24,10x24,46-20-30-280,36,12,T,Y,W,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2008,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2009,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2010,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2011,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2012,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2013,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2014,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
84,,SIDE CAR    (FRONT),,,2015,TS,FG366-395TRC-04AB,,395,10x24,10x24,46-20-30-280,36,12,T,Y,C,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2008,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2009,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2010,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2011,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2012,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2013,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2014,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART     ( REAR ),,,2015,TS,RG366-590TRW-01,,590,10x30,10x40,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
85,,CROSS-KART    (FRONT),,,2008,TS,FG366-455TRW-01,,455,10x32,10x26,46-25-45-280,36,12,T,Y,W,,,,Y,,,,4
