Fabric Code,Brand,Type,Color,File
505232,1,Shirt,Claret red And Maroon Check,505232.jpg
505233,1,Shirt,Dark Green And Olive Check,505233.jpg
505234,1,Shirt,Lochinvar With Grey Check,505234.jpg
505235,1,Shirt,"White, Purple And Yellow Check",505235.jpg
505236,1,Shirt,"Yellow, White And Dark Blue Check",505236.jpg
505237,1,Shirt,Dark Blue With Red And White Check,505237.jpg
505239,1,Shirt,PaleGoldenrod Mini Herringbone,505239.jpg
505240,1,Shirt,Pink Mini Herringbone,505240.jpg
505241,1,Shirt,CornflowerBlue Mini Herringbone,505241.jpg
505242,1,Shirt,Medium Blue Stripe,505242.jpg
505243,1,Shirt,Dark Red Stripe,505243.jpg
505244,1,Shirt,Pink Stripe,505244.jpg
505245,1,Shirt,Slate Gray Stripe,505245.jpg
505246,1,Shirt,Dark Blue Stripe,505246.jpg
505247,1,Shirt,Black Stripe,505247.jpg
505248,1,Shirt,Royal Blue Stripe,505248.jpg
505249,1,Shirt,Moccasin Stripe,505249.jpg
505250,1,Shirt,White Oxford,505250.jpg
505251,1,Shirt,Medium Slate Blue Oxford,505251.jpg
505252,1,Shirt,Misty Rose Oxford,505252.jpg
505253,1,Shirt,Navajo White Oxford,505253.jpg
505254,1,Shirt,PaleGoldenrod Oxford,505254.jpg
505255,1,Shirt,Sky Blue Oxford,505255.jpg
505256,1,Shirt,Silver Oxford,505256.jpg
505257,1,Shirt,CornflowerBlue Oxford,505257.jpg
505258,1,Shirt,Royal Blue Oxford,505258.jpg
505259,1,Shirt,Black Oxford,505259.jpg
505260,1,Shirt,Dark Purple Oxford,505260.jpg
505261,1,Shirt,Brown Oxford,505261.jpg
505262,1,Shirt,Navy Blue Oxford,505262.jpg
505263,1,Shirt,Indigo Oxford,505263.jpg
505264,1,Shirt,Charcoal Grey Oxford,505264.jpg
505265,1,Shirt,Red Oxford,505265.jpg
505266,1,Shirt,Orange Red Oxford,505266.jpg
505267,1,Shirt,Gold Oxford,505267.jpg
505268,1,Shirt,Red And Light Check,505268.jpg
505269,1,Shirt,Grey Check,505269.jpg
505270,1,Shirt,"White, Brown, Grey And Light Check",505270.jpg
505271,1,Shirt,Black And Purple Check,505271.jpg
505272,1,Shirt,Red Stripe,505272.jpg
505273,1,Shirt,Pink Stripe,505273.jpg
505274,1,Shirt,Goldenrod With Black Check,505274.jpg
505275,1,Shirt,Purple Micro Grid,505275.jpg
505276,1,Shirt,White With Indigo Check,505276.jpg
505277,1,Shirt,Small Yellow Check,505277.jpg
505278,1,Shirt,Dark Blue And Purple Check,505278.jpg
505279,1,Shirt,Grey Check,505279.jpg
