FABRIC CODE,BRAND,type,COLOUR,DESIGN,DESCRIPTION,file
909-4,6,suit,BLACK,STRIPES,BLACK WITH PURPLE STRIPES ,909-4.jpg
913-1,6,suit,DARK GREY,STRIPES,DARK GREY  WITH COLOURED STRIPES,913-1.jpg
915-1,6,suit,DARK GREY ,STRIPES,WITH PURPLE STRIPES ON BIRDSEYE,915-1.jpg
1614-1,6,suit,WHITE,STRIPES,WHITE WITH BLACK STRIPES ,1614-1.jpg
8114,6,suit,DARK BROWN,STRIPES,DARK BROWN WITH BROWN STRIPES,8114.jpg
8150,6,suit,OFF WHITE,CHECKS,OFF WHITE ON WINDOWPANE CHECKS,8150.jpg
8151,6,suit,GREY-BLUE,CHECKS,VERY LIGHT GREY-BLUE WITH WINDOWPANE CHECK ,8151.jpg
8165,6,suit,BLACK,STRIPES,VERY DARK BLACK  WITH BURGANDI STRIPES,8165.jpg
8358,6,suit,DARK GREY,STRIPES,DARK GREY WITH COLOURED STRIPES,8358.jpg
8360,6,suit,BLACK,STRIPES,BLACK WITH COLOURED STRIPES,8360.jpg
8361,6,suit,BLACK,STRIPES,BLACK WITH COLOURED STRIPES,8361.jpg
8377,6,suit,BLACK,STRIPES,MEDIUM BLACK WITH COLOURED STRIPES,8377.jpg
8445,6,suit,DARK BLUE,STRIPES,DARK BLUE WITH COLOURED STRIPES,8445.jpg
8721,6,suit,BLACK,STRIPES,BLACK WITH CURVED STRIPES,8721.jpg
8736,6,suit,BLACK,STRIPES,BLACK WITH COLOURED STRIPES,8736.jpg
8739,6,suit,DARK BLUE,STRIPES,BLUE ON BLUE STRIPES,8739.jpg
8754,6,suit,OFF WHITE or CREAM,CHECKS,SELF PATTERN CHECKS ON OFF WHITE,8754.jpg
8757,6,suit,DARK BLUE,CHECKS,SELF PATTERN CHECKS ON DARK BLUE,8757.jpg
8775,5,suit,BROWN,STRIPES,BROWN WITH MUSTARD STRIPES,8775.jpg
8778,5,suit,DARK GREY,STRIPES,DARK GREY SELF PATTERN STRIPES,8778.jpg
8781,6,suit,DARK BLUE,HERRINGBONE,DARK BLUE ON HERRINGBONE TEXTURE,8781.jpg
8783,5,suit,BLACK,STRIPES,BLACK WITH BROWN STRIPES,8783.jpg
8784,5,suit,DARK GREY,STRIPES,GREY STRIPES ON DARK GREY,8784.jpg
8794,5,suit,VERY DARK GREY,STRIPES,DARK GREY WITH COLOURED STRIPES,8794.jpg
8797,5,suit,BLACK,STRIPES,BLACK WITH BLUE STRIPES,8797.jpg
8861,6,suit,BEIGE,CHECKS,VERY SMALL PATTERNED SELF BEIGE  CHECK,8861.jpg
8875,6,suit,BLACK,STRIPES,MEDIUM BLACK WITH PURPLE STRIPES,8875.jpg
8893,6,suit,TAN BROWN,HERRINGBONE,TAN BROWN ON HERRINGBONE ,8893.jpg
8946,6,suit,BLACK,STRIPES,BLACK WITH SUBTLE STRIPES,8946.jpg
8958,6,suit,DARK GREY,STRIPES,DARK GREY WITH GREY STRIPES,8958.jpg
8960,6,suit,BLACK,STRIPES,BLACK WITH GREY STRIPES,8960.jpg
8993,6,suit,DARK GREY,STRIPES,DARK GREY WITH GREY STRIPES,8993.jpg
9014,6,suit,DARK GREY,STRIPES,DARK GREY WITH SELF STRIPES,9014.jpg
9015,6,suit,BLACK,STRIPES,BLACK WITH MUSTARD COLOURED STRIPES,9015.jpg
9023,5,suit,BLACK,STRIPES,BLACK WITH COLOURED STRIPES,9023.jpg
9060,6,suit,DARK BROWN,STRIPES,DARK BROWN WITH MULTI COLOURED STRIPES,9060.jpg
9062,6,suit,BLACK,STRIPES,BLACK WITH BIAS CUT STRIPES,9062.jpg
9067,6,suit,DARK BROWN,SELF STRIPES,DOUBLE TONE STRIPES ON DARK BROWN,9067.jpg
9069,6,suit,DARK GREY,STRIPES,PURPLE STRIPES ON DARK GREY,9069.jpg
9070,6,suit,BLACK,STRIPES,PURPLE STRIPES ON BLACK,9070.jpg
9079,5,suit,BLACK,STRIPES,MULTI COLOURED STRIPES,9079.jpg
9084,6,suit,BLACK,STRIPES,SUBTLE YELLOW STRIPES ON BLACK BACKGROUND,9084.jpg
9087,6,suit,DARK GREY,STRIPES,SELF TONE GREY STRIPES,9087.jpg
9088,5,suit,BLACK,STRIPES,BLACK  WITH MULTI COLOURED STRIPES,9088.jpg
9138,6,suit,BLACK,STRIPES,CHALK STRIPES ON BLACK,9138.jpg
9144,5,suit,DARK BLUE,STRIPES,DARK BLUE WITH MULTI COLOURED STRIPES,9144.jpg
9145,6,suit,DARK GREY,SELF STRIPES,VERY SUBTLE GLITERED STRIPE ON DARK GREY,9145.jpg
9150,5,suit,DARK BROWN,STRIPES,DARK BROWN WITH MULTI COLOURED STRIPES,9150.jpg
9151,5,suit,DARK BLUE,SELF STRIPES,SELF TONE BLUE STRIPES,9151.jpg
9152,6,suit,DARK BROWN,STRIPES,DOUBLE TONE BROWN WITH COOURED STRIPES,9152.jpg
9153,5,suit,DARK BROWN,STRIPES,BROWN WITH COLOURED STRIPES,9153.jpg
9154,5,suit,TAN  BROWN,STRIPES,MUSTURD STRIPES ON TAN BROWN,9154.jpg
9159,6,suit,CHOCLATE BROWN,STRIPES,BROWN STRIPES ON CHOCLATE BACKGROUND,9159.jpg
9171,6,suit,BROWN,STRIPES,BLUE STRIPES ON BROWN,9171.jpg
9172,6,suit,DARK BLUE,STRIPES,VIOLET STRIPES ON DARK BLUE,9172.jpg
9195,6,suit,BROWN,STRIPES,BEIGE STRPES ON BROWN,9195.jpg
9212,6,suit,CHOCLATE BROWN,STRIPES,TAN STRIPES ON CHOCLATE BROWN,9212.jpg
9221,5,suit,TAN  BROWN,STRIPES,BEIGE STRPES ON BROWN,9221.jpg
9222,6,suit,DARK BROWN,STRIPES,GREY STRIPES ON DARK BROWN,9222.jpg
9225,5,suit,DARK BROWN,STRIPES,TAN STRIPES ON DRK BROWN,9225.jpg
9250,6,suit,GREY,SELF STRIPES,VERY THIN SELF SRIPES ON GREY BACKGROUND,9250.jpg
9257,6,suit,DARK BROWN,STRIPES,BROQN STRIPES ON DARK BROWN BACKGROUND,9257.jpg
9259,6,suit,VERY DARK GREY,STRIPES,GREY STRIPES ON DARK GREY,9259.jpg
9280,6,suit,BLACK,WINDOWPANE CHECKS,DOUBLE COLURED CHECKS,9280.jpg
9282,6,suit,??,PRINCE OR WINDOWPANE,DIFFERENT IN BOOK DIFFERENT E VERSION,9282.jpg
9327,6,suit,BLACK,SELF STRIPES,RED DOTTED STRIPES ON BLACK BACKGROUND,9327.jpg
9331,6,suit,GREY-BROWN,STRIPES,CLOURED STRIPESON GREY-BROWN BACKGROUND,9331.jpg
