lining_code,title,type,file
default,Default,shirt,default.jpg
114621,114621,shirt,114621.jpg
114677,114677,shirt,114677.jpg
114780,114780,shirt,114780.jpg
114887,114887,shirt,114887.jpg
114889,114889,shirt,114889.jpg
114890,114890,shirt,114890.jpg
114956,114956,shirt,114956.jpg
114957,114957,shirt,114957.jpg
114977,114977,shirt,114977.jpg
115052,115052,shirt,115052.jpg
115055,115055,shirt,115055.jpg
115057,115057,shirt,115057.jpg
115059,115059,shirt,115059.jpg
115060,115060,shirt,115060.jpg
115064,115064,shirt,115064.jpg
115076,115076,shirt,115076.jpg
115079,115079,shirt,115079.jpg
115084,115084,shirt,115084.jpg
115086,115086,shirt,115086.jpg
115089,115089,shirt,115089.jpg
115100,115100,shirt,115100.jpg
115113,115113,shirt,115113.jpg
115114,115114,shirt,115114.jpg
115117,115117,shirt,115117.jpg
115118,115118,shirt,115118.jpg
115120,115120,shirt,115120.jpg
115121,115121,shirt,115121.jpg
115122,115122,shirt,115122.jpg
115123,115123,shirt,115123.jpg
115124,115124,shirt,115124.jpg
115125,115125,shirt,115125.jpg
115126,115126,shirt,115126.jpg
115127,115127,shirt,115127.jpg
